Klimadaten 1): Jahrestemperatur,,,,,,,,,,,,,T 02.03.03.02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Jahr,Mittlere Jahrestemperatur in °C,,,,,,,,,,,,
,,,,,,,,,,,,,
,Basel-Binningen,Bern-Zollikofen 2),Chur,Davos,Genf-Cointrin,Lausanne-Pully,Locarno-Monti,Lugano,Luzern,Neuenburg,Sitten,St. Gallen,Zürich-Fluntern
,316 m ü. M.,553 m ü. M.,556 m ü. M.,1594 m ü. M.,412 m ü. M.,456 m ü. M.,367 m ü. M.,273 m ü. M.,454 m ü. M.,485 m ü. M.,482 m ü. M.,776 m ü. M.,556 m ü. M.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1943,10.2 ,8.5 ,9.6 ,3.1 ,10.4 ,10.4,12.5 ,12.7 ,9.4 ,10.1 ,9.9 ,7.9 ,9.2 
1944,9.3 ,7.4 ,8.4 ,1.7 ,9.6 ,10.4,11.3 ,11.5 ,8.3 ,9.1 ,8.5 ,7.0 ,8.2 
1945,10.0 ,8.2 ,9.0 ,2.5 ,10.3 ,10.4,12.3 ,12.5 ,9.0 ,9.9 ,9.4 ,7.7 ,9.0 
1946,9.5 ,7.9 ,9.0 ,3.0 ,10.0 ,10.4,11.5 ,11.7 ,8.9 ,9.4 ,9.2 ,7.5 ,8.6 
1947,10.5 ,9.2 ,9.7 ,3.6 ,10.9 ,10.4,11.9 ,12.2 ,9.7 ,10.5 ,10.3 ,8.2 ,9.5 
1948,9.9 ,8.5 ,9.4 ,3.2 ,10.1 ,10.4,11.9 ,12.4 ,9.3 ,9.7 ,9.7 ,7.8 ,8.9 
1949,10.4 ,9.0 ,9.6 ,3.2 ,10.6 ,10.4,12.4 ,12.7 ,9.6 ,10.2 ,10.0 ,8.0 ,9.4 
1950,10.0 ,8.6 ,9.3 ,2.8 ,10.4 ,10.4,11.9 ,12.2 ,9.2 ,9.7 ,9.6 ,7.9 ,9.0 
1951,9.6 ,8.1 ,9.4 ,2.9 ,9.6 ,10.4,11.2 ,11.5 ,8.8 ,9.3 ,9.4 ,7.8 ,8.6 
1952,9.7 ,8.3 ,8.7 ,2.2 ,9.9 ,10.4,11.3 ,11.6 ,8.9 ,9.6 ,9.2 ,7.4 ,8.6 
1953,9.6 ,8.0 ,9.1 ,2.7 ,9.7 ,10.4,11.9 ,12.0 ,8.8 ,9.2 ,9.1 ,7.4 ,8.5 
1954,9.0 ,7.7 ,8.2 ,1.9 ,9.4 ,10.4,11.0 ,11.2 ,8.4 ,8.9 ,8.7 ,6.8 ,8.0 
1955,9.1 ,7.6 ,8.5 ,2.0 ,9.7 ,10.4,11.4 ,11.7 ,8.5 ,8.9 ,9.0 ,6.8 ,8.1 
1956,7.9 ,6.5 ,7.4 ,0.9 ,8.5 ,10.4,10.6 ,10.8 ,7.4 ,7.8 ,7.9 ,6.0 ,7.1 
1957,9.5 ,7.9 ,9.1 ,3.0 ,9.5 ,10.4,11.5 ,11.6 ,8.7 ,9.2 ,9.1 ,7.5 ,8.6 
1958,9.6 ,7.9 ,8.6 ,2.6 ,9.6 ,10.4,11.6 ,12.0 ,8.8 ,9.3 ,9.0 ,7.5 ,8.6 
1959,10.2 ,8.5 ,9.8 ,3.2 ,10.2 ,10.4,12.0 ,12.1 ,9.2 ,10.1 ,10.1 ,7.9 ,9.2 
1960,9.6 ,7.8 ,9.2 ,2.8 ,9.7 ,10.4,10.9 ,11.1 ,8.7 ,9.3 ,9.5 ,7.6 ,8.6 
1961,10.5 ,8.8 ,9.9 ,3.7 ,10.6 ,10.4,12.2 ,12.2 ,9.7 ,10.3 ,10.0 ,8.4 ,9.5 
1962,8.6 ,7.1 ,8.0 ,1.6 ,9.1 ,10.4,11.2 ,11.4 ,7.9 ,8.7 ,8.7 ,6.5 ,7.6 
1963,8.5 ,6.7 ,7.9 ,1.9 ,8.5 ,10.4,10.6 ,10.9 ,7.5 ,8.1 ,8.4 ,6.3 ,7.4 
1964,9.8 ,8.0 ,8.9 ,3.1 ,9.8 ,10.4,11.8 ,11.8 ,8.8 ,9.5 ,9.2 ,7.3 ,8.5 
1965,9.2 ,7.2 ,8.1 ,1.8 ,8.8 ,10.4,11.0 ,11.0 ,7.9 ,8.5 ,8.3 ,6.6 ,7.6 
1966,9.9 ,8.3 ,9.0 ,2.6 ,10.0 ,10.4,11.5 ,11.6 ,9.0 ,9.7 ,9.4 ,7.8 ,8.7 
1967,9.8 ,8.2 ,8.9 ,2.7 ,9.7 ,10.4,11.5 ,11.9 ,9.0 ,9.7 ,9.5 ,7.7 ,8.7 
1968,9.3 ,7.7 ,8.6 ,2.6 ,9.4 ,10.4,11.0 ,11.3 ,8.6 ,9.3 ,9.3 ,7.2 ,8.2 
1969,9.0 ,7.5 ,8.5 ,2.6 ,9.1 ,10.4,11.0 ,11.1 ,8.2 ,8.9 ,8.8 ,6.9 ,8.0 
1970,9.2 ,7.5 ,8.3 ,2.3 ,9.3 ,10.4,11.0 ,11.3 ,8.1 ,8.9 ,9.0 ,7.0 ,7.9 
